Season,Name,Team,W,L,G,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,ID,release_pos_x,release_pos_z,release_pos_y,release_speed,pfx_x,pfx_z,release_spin_rate,spin_axis,n_pitches
2019,Gerrit Cole,HOU,4,1,5,36.2,11.54,2.7,0.98,0.224,0.947,0.367,0.108,1.72,2.97,3.56,543037,-2.0340803571428574,5.842809523809524,54.39234226190476,92.42532738095237,-0.369422619047619,0.7708095238095238,2558.9619304556354,165.48898809523808,5.0
2019,Stephen Strasburg,WSN,5,0,6,36.1,11.64,0.99,0.99,0.299,0.88,0.462,0.154,1.98,2.39,2.38,544931,-2.434531480934082,5.843721548921076,53.78866095181792,88.6745492166716,-0.4243955069464972,0.362151936151345,2245.1349182763743,180.0292639668933,5.0
2021,Tyler Matzek,ATL,3,0,13,15.2,13.79,2.3,0.0,0.313,0.7859999999999999,0.29,0.0,1.72,0.87,2.79,554431,1.847549295774648,6.241380281690141,54.17262910798122,92.62272300469483,0.12164319248826293,0.8817840375586855,2569.7453007518798,200.2265037593985,3.0
2017,Masahiro Tanaka,NYY,2,1,3,20.0,8.1,1.35,0.0,0.196,0.846,0.5489999999999999,0.0,0.9,1.81,3.14,547888,-1.7365799786248663,5.238884930530816,54.82261845386534,87.47228357677236,-0.49816108339272985,0.5054526015680684,2068.5314685314684,194.10366939793374,6.0
2023,Zack Wheeler,PHI,3,0,5,27.2,11.39,0.98,0.98,0.226,0.823,0.446,0.111,1.95,2.46,2.66,554430,-2.01651030110935,5.397112519809825,53.32587004754358,91.90196513470681,-0.20454516640253567,0.6743993660855785,2515.747298156389,175.12873490146217,6.0
2019,Max Scherzer,WSN,3,0,6,30.0,11.1,4.5,1.2,0.246,0.921,0.3379999999999999,0.121,2.4,3.98,4.44,453286,-3.509014084507042,5.2240556157457565,54.569631635969664,89.60046948356808,-0.5523365836041892,0.6454568436258578,2336.5457552370453,188.40628385698807,5.0
2017,Justin Verlander,HOU,4,1,6,36.2,9.33,1.96,0.74,0.224,0.8270000000000001,0.253,0.06,2.21,2.97,4.33,434378,-2.38332766921552,6.388790710846785,54.68622769753611,91.05046728971963,-0.5766185216652506,0.851849334466157,2549.887439750496,179.9207023506089,6.0
2023,Merrill Kelly,ARI,3,1,4,24.0,10.5,3.0,1.5,0.157,0.972,0.4,0.138,2.25,4.09,3.92,518876,-1.7396931858722795,5.511905101676775,54.29534427399215,89.67491972886192,-0.5745237245808064,0.5588048519443454,2304.3884917798428,202.4710507505361,6.0
2023,Josh Sborz,TEX,0,0,10,12.0,9.75,3.0,0.0,0.154,0.875,0.5,0.0,0.75,2.09,3.47,622250,-0.9443045563549161,6.236223021582734,54.39778177458034,90.71726618705036,0.09804556354916066,0.3797002398081535,2219.285714285714,151.10084033613447,3.0
2022,Zack Wheeler,PHI,1,3,6,35.2,8.33,1.77,0.5,0.191,0.662,0.505,0.059,2.78,2.92,3.6,554430,-1.647069550466497,5.5092578456318915,53.273070398642915,92.55593723494486,-0.43236217133163696,0.7913443596268024,2396.3549618320612,189.69508057675998,5.0
