Season,Team,TG,W,L,G,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,release_pos_x,release_pos_z,release_pos_y,release_speed,pfx_x,pfx_z,release_spin_rate,spin_axis,n_primary_pitches,n_pitchers_used
2023,PHI,13,8,5,64,114.1,9.37,2.44,0.63,0.276,0.826,0.471,0.072,2.2,2.98,3.67,2.0358218094548275,0.4883698528152502,0.4046341806191536,5.697546102182935,0.9760477306418196,0.7623604476193262,298.2862154417649,63.24610718085417,5,12
2022,HOU,13,11,2,62,126.0,11.43,3.07,0.93,0.232,0.835,0.419,0.108,2.29,3.08,3.15,0.7753106527273766,0.5412373132821019,0.2312111655236258,3.5812757235768125,0.755792969558642,0.5085514491786284,200.01091096952382,45.707217420376026,3,12
2018,MIL,10,6,4,58,93.2,10.76,2.98,0.48,0.282,0.813,0.4679999999999999,0.069,2.31,2.62,3.19,2.0018858339891894,0.3950969822856998,0.5112920550373876,5.3662917001046395,0.7456560164874165,0.634607526781776,146.13245583965528,53.381280849482366,5,13
2021,ATL,16,11,5,80,140.0,9.96,3.21,0.84,0.293,0.7809999999999999,0.42,0.096,3.28,3.41,3.91,1.8372900060348791,0.4734065659221581,0.2828843791048723,4.6090398759123214,0.6744568359700364,0.7962244661861352,257.06166867974093,64.77417543511821,6,15
2019,WSH,17,12,5,66,153.0,10.24,3.35,1.35,0.275,0.8170000000000001,0.363,0.135,3.47,4.09,4.35,2.0560080913273024,0.42710243663753666,0.2095986232174607,5.302725653597196,0.6594033926927132,0.6866148948178106,216.8172539476565,52.090198565058415,5,12
2018,BOS,14,11,3,73,134.0,8.73,3.83,1.07,0.239,0.797,0.44,0.1169999999999999,3.29,4.21,4.34,2.1935408628233466,0.4290334843086007,0.389136123142696,2.726803754471053,0.9187839691937645,0.21067653855657692,128.11600210156257,38.192973847913755,2,11
2022,PHI,17,11,6,85,150.0,9.84,2.4,1.02,0.262,0.767,0.479,0.118,3.24,3.38,3.33,1.8350902828120201,0.39133747659964857,0.5398845645169935,5.519691162276532,0.9534881738499409,0.5248407839112526,225.52523293510686,43.98686113260708,6,14
2017,NYY,13,7,6,48,115.1,9.29,3.59,0.86,0.23,0.762,0.447,0.106,2.97,3.63,4.0,1.6139596943676398,0.3037739286493675,0.36718668838348784,6.510279955360504,0.7046129709903471,0.5540722488206611,144.3830025631769,46.269031031186444,4,11
2019,NYY,9,5,4,55,81.2,9.81,4.19,1.32,0.228,0.852,0.3939999999999999,0.15,2.87,4.45,4.49,2.08158495993845,0.3544672215259924,0.47690556122235594,6.395620802192809,0.8842156727284072,0.5960530510556664,321.4521287978689,51.158954398355,6,13
2023,AZ,17,10,7,89,152.1,8.63,3.66,1.24,0.267,0.772,0.4589999999999999,0.1369999999999999,3.54,4.45,4.32,1.9789934085674448,0.7757940182620213,0.2945897831569173,3.4742797007174713,0.847362567621753,0.6514500828180614,224.56152536560896,57.41624675522873,4,13
