Season,Team,TG,W,L,G,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP
2023,PHI,13,8,5,64,114.1,9.37,2.44,0.63,0.276,0.826,0.47100000000000003,0.07200000000000001,2.2,2.98,3.67
2022,HOU,13,11,2,62,126.0,11.43,3.07,0.93,0.232,0.835,0.419,0.10800000000000001,2.29,3.08,3.15
2018,MIL,10,6,4,58,93.2,10.76,2.98,0.48,0.282,0.813,0.46799999999999997,0.069,2.31,2.62,3.19
2021,ATL,16,11,5,80,140.0,9.96,3.21,0.84,0.293,0.7809999999999999,0.42,0.096,3.28,3.41,3.91
2019,WSN,17,12,5,66,153.0,10.24,3.35,1.35,0.275,0.8170000000000001,0.363,0.135,3.47,4.09,4.35
2018,BOS,14,11,3,73,134.0,8.73,3.83,1.07,0.239,0.797,0.44,0.11699999999999999,3.29,4.21,4.34
2022,PHI,17,11,6,85,150.0,9.84,2.4,1.02,0.262,0.767,0.479,0.11800000000000001,3.24,3.38,3.33
2017,NYY,13,7,6,48,115.1,9.29,3.59,0.86,0.23,0.762,0.447,0.106,2.97,3.63,4.0
2019,NYY,9,5,4,55,81.2,9.81,4.19,1.32,0.228,0.852,0.39399999999999996,0.15,2.87,4.45,4.49
2023,ARI,17,10,7,89,152.1,8.63,3.66,1.24,0.267,0.772,0.45899999999999996,0.13699999999999998,3.54,4.45,4.32
2019,HOU,18,10,8,84,161.0,10.12,3.58,1.57,0.278,0.805,0.364,0.151,3.8,4.47,4.51
2023,TEX,17,13,4,79,155.0,7.49,3.14,0.93,0.288,0.754,0.44299999999999995,0.10099999999999999,3.83,4.06,4.41
2021,LAD,12,6,6,71,105.0,10.89,2.4,1.11,0.287,0.792,0.342,0.11,3.17,3.25,3.62
2018,LAD,16,8,8,90,152.0,9.71,3.08,0.95,0.264,0.7490000000000001,0.46299999999999997,0.115,3.49,3.46,3.6
2024,KCR,6,3,3,33,53.0,8.49,5.26,0.68,0.248,0.856,0.41700000000000004,0.07400000000000001,2.55,4.07,4.63
2022,CLE,7,4,3,31,68.0,10.85,3.04,1.32,0.19,0.857,0.42100000000000004,0.159,2.65,3.76,3.22
2017,LAD,15,10,5,81,135.2,8.96,2.26,1.92,0.207,0.871,0.43799999999999994,0.207,3.32,4.81,3.87
2022,TBR,2,0,2,10,22.0,10.64,1.23,0.82,0.229,0.987,0.6,0.14300000000000002,1.23,2.61,2.37
2024,DET,7,4,3,36,61.0,8.26,2.07,0.59,0.273,0.745,0.444,0.065,3.25,3.12,3.8
2018,COL,4,1,3,23,39.2,9.3,4.76,0.91,0.291,0.83,0.47600000000000003,0.133,3.18,3.99,3.93
2019,TBR,6,3,3,35,51.0,10.76,2.65,1.06,0.318,0.7879999999999999,0.312,0.095,2.82,3.23,4.16
2021,MIL,4,1,3,17,34.0,8.74,3.44,1.06,0.286,0.838,0.447,0.10300000000000001,3.18,4.08,4.58
2024,NYY,14,8,6,77,127.1,8.13,3.68,0.99,0.266,0.741,0.37200000000000005,0.09,3.46,4.11,4.52
2023,MIN,6,3,3,30,53.0,9.51,2.38,1.7,0.293,0.868,0.34,0.147,3.4,4.5,4.17
2024,BAL,2,0,2,10,18.0,7.0,3.0,0.0,0.28,0.8640000000000001,0.48,0.0,1.5,2.94,4.62
2017,WSN,5,2,3,23,44.0,10.64,3.68,0.41,0.25,0.693,0.45399999999999996,0.063,2.66,2.88,3.59
2022,NYY,9,3,6,39,79.2,7.91,2.71,1.02,0.285,0.7829999999999999,0.442,0.105,3.28,3.88,4.01
2018,CHC,1,0,1,9,13.0,9.0,2.08,0.0,0.306,0.857,0.47200000000000003,0.0,1.38,1.85,3.25
2019,STL,9,3,6,44,79.0,10.25,3.08,0.8,0.321,0.7140000000000001,0.42100000000000004,0.08900000000000001,3.42,3.23,4.06
2017,CLE,5,2,3,28,47.0,12.26,4.02,1.34,0.264,0.763,0.418,0.179,2.68,3.77,3.31
2017,HOU,18,11,7,70,159.0,9.51,2.94,1.19,0.274,0.726,0.41100000000000003,0.133,4.13,3.91,3.96
2023,TOR,2,0,2,11,16.0,11.81,6.19,1.13,0.286,0.8959999999999999,0.583,0.182,2.81,4.51,4.02
2021,SFG,5,2,3,25,44.0,8.39,2.45,0.61,0.295,0.723,0.469,0.07,3.48,3.08,3.92
2022,SDP,12,6,6,48,103.0,9.7,3.15,1.49,0.263,0.7909999999999999,0.321,0.13,3.84,4.3,4.03
2022,SEA,5,2,3,28,52.2,8.72,1.54,1.37,0.275,0.795,0.315,0.111,3.76,4.12,4.17
2019,LAD,5,2,3,26,45.0,8.4,4.0,1.0,0.267,0.736,0.40299999999999997,0.098,4.2,4.33,5.14
2021,HOU,16,9,7,91,140.0,9.9,3.41,1.61,0.291,0.769,0.46299999999999997,0.179,4.44,4.58,4.02
2021,STL,1,0,1,5,8.2,7.27,4.15,2.08,0.217,0.976,0.375,0.222,3.12,5.94,4.77
2024,CLE,10,4,6,65,89.0,10.82,4.15,1.21,0.299,0.76,0.36,0.129,3.64,4.07,3.89
2018,HOU,8,4,4,35,71.0,8.62,3.3,0.89,0.243,0.6559999999999999,0.48200000000000004,0.10099999999999999,4.18,3.79,4.12
2022,LAD,4,1,3,22,34.0,11.91,3.18,1.06,0.326,0.755,0.409,0.10800000000000001,3.71,3.05,3.14
2024,HOU,2,0,2,10,18.0,11.5,6.0,0.5,0.356,0.7609999999999999,0.444,0.091,4.0,3.33,3.53
2024,SDP,7,4,3,33,61.0,9.0,2.07,1.62,0.245,0.746,0.425,0.172,3.69,4.25,3.49
2019,MIL,1,0,1,4,8.0,7.88,1.13,1.13,0.19,0.536,0.409,0.111,3.38,3.84,4.45
2022,STL,2,0,2,9,18.0,7.0,4.5,0.5,0.174,0.645,0.444,0.053,4.0,4.11,4.95
2019,OAK,1,0,1,5,9.0,12.0,2.0,4.0,0.167,1.0,0.409,0.364,5.0,6.99,3.65
2023,MIL,2,0,2,12,18.0,10.5,5.0,2.0,0.268,0.722,0.511,0.235,5.5,5.48,4.15
2023,HOU,11,6,5,54,99.0,9.73,3.36,1.82,0.268,0.767,0.35700000000000004,0.163,4.55,5.08,4.51
2021,NYY,1,0,1,5,8.0,10.13,7.88,2.25,0.294,0.7140000000000001,0.42100000000000004,0.2,6.75,6.8,5.75
2024,MIL,3,1,2,17,27.0,8.0,3.33,0.33,0.253,0.57,0.42100000000000004,0.031,4.33,3.31,4.63
2024,ATL,2,0,2,9,16.0,6.19,1.69,1.69,0.25,0.6759999999999999,0.4,0.158,5.06,4.98,4.34
2023,ATL,4,1,3,19,34.0,10.06,5.03,2.91,0.298,0.889,0.34,0.25,4.5,7.08,5.01
2019,ATL,5,2,3,29,45.2,9.26,3.15,0.79,0.313,0.632,0.49200000000000005,0.10300000000000001,4.73,3.41,3.97
2023,MIA,2,0,2,10,16.0,12.38,2.25,1.13,0.381,0.573,0.295,0.105,5.63,2.88,3.22
2023,TBR,2,0,2,8,18.0,10.5,4.0,1.0,0.377,0.7090000000000001,0.345,0.091,5.0,3.87,4.44
2018,OAK,1,0,1,6,8.0,6.75,4.5,2.25,0.227,0.488,0.45799999999999996,0.25,7.88,6.41,4.81
2024,LAD,16,11,5,86,142.0,7.86,4.18,1.39,0.256,0.765,0.382,0.122,4.5,5.08,5.0
2017,MIN,1,0,1,6,8.0,5.63,5.63,3.38,0.24,0.612,0.28600000000000003,0.188,9.0,8.66,7.34
2018,ATL,4,1,3,24,34.0,9.26,7.15,2.12,0.215,0.789,0.41200000000000003,0.235,4.76,6.63,5.22
2022,NYM,3,1,2,16,27.0,10.33,4.0,1.67,0.284,0.71,0.478,0.2,5.33,4.78,3.74
2021,BOS,11,6,5,60,100.0,9.0,2.61,1.62,0.283,0.675,0.359,0.145,4.86,4.47,4.32
2017,CHC,10,4,6,46,87.2,8.42,5.44,1.64,0.241,0.758,0.41700000000000004,0.17600000000000002,4.52,5.58,5.05
2018,NYY,5,2,3,25,44.0,8.59,4.7,1.02,0.3,0.639,0.48100000000000004,0.11900000000000001,5.93,4.36,4.46
2022,TOR,2,0,2,12,18.0,10.0,3.0,1.0,0.34,0.556,0.4,0.105,7.0,3.67,3.79
2021,TBR,4,1,3,27,39.0,6.0,1.62,2.08,0.356,0.7340000000000001,0.413,0.17,6.0,5.38,4.77
2023,LAD,3,0,3,17,26.0,9.0,3.81,3.12,0.282,0.782,0.455,0.36,6.58,7.26,4.34
2017,BOS,4,1,3,20,34.0,7.94,3.71,2.12,0.376,0.7659999999999999,0.293,0.16,6.35,5.95,5.51
2017,COL,1,0,1,8,8.0,12.38,4.5,2.25,0.536,0.5489999999999999,0.414,0.222,12.38,5.16,3.91
2024,PHI,4,1,3,21,34.0,11.65,4.76,1.85,0.341,0.7140000000000001,0.337,0.20600000000000002,5.82,5.02,3.85
2022,ATL,4,1,3,19,34.0,9.26,2.91,1.32,0.32,0.595,0.37,0.114,5.82,4.11,4.12
2023,BAL,3,0,3,19,26.0,9.69,6.23,1.73,0.342,0.659,0.385,0.152,7.27,5.68,5.28
2018,CLE,3,0,3,15,25.0,8.64,5.04,2.88,0.356,0.754,0.4,0.258,7.2,7.44,5.33
2019,MIN,3,0,3,17,25.0,9.72,6.12,1.8,0.348,0.61,0.301,0.147,7.56,5.93,6.04
2017,ARI,4,1,3,20,34.0,8.74,4.5,1.32,0.364,0.618,0.431,0.14300000000000002,6.88,4.72,4.64
2021,CHW,4,1,3,23,34.0,10.85,4.76,1.06,0.371,0.524,0.444,0.10300000000000001,7.94,3.96,4.46
2024,NYM,13,7,6,54,113.2,8.71,4.99,1.5,0.277,0.718,0.41200000000000003,0.146,4.91,5.28,4.83
